CHROMOSOME,STRAND,LOCUS_ID,TSS
Chr1,+,LOC_Os01g01050.1,22841
Chr1,+,LOC_Os01g01060.1,27136
Chr1,+,LOC_Os01g01070.1,29818
Chr1,+,LOC_Os01g01080.1,35581
Chr1,+,LOC_Os01g01110.1,57082
Chr1,+,LOC_Os01g01120.1,62059
Chr1,-,LOC_Os01g01130.1,66302
Chr1,+,LOC_Os01g01010.1,2903
Chr1,+,LOC_Os01g01019.1,11218
Chr1,+,LOC_Os01g01030.1,12648
Chr1,-,LOC_Os01g01350.1,173191
Chr1,+,LOC_Os01g01360.1,178310
Chr1,-,LOC_Os01g01369.1,190846
Chr1,+,LOC_Os01g01390.3,197647
Chr1,+,LOC_Os01g01400.1,201944
Chr1,-,LOC_Os01g01410.1,209606
Chr1,+,LOC_Os01g01430.1,216126
Chr1,+,LOC_Os01g01450.1,226897
Chr1,-,LOC_Os01g01484.1,256878
Chr1,+,LOC_Os01g01150.2,72775
Chr1,+,LOC_Os01g01160.1,82428
Chr1,+,LOC_Os01g01170.1,85337
Chr1,-,LOC_Os01g01190.1,91521
Chr1,+,LOC_Os01g01290.1,139820
Chr1,+,LOC_Os01g01302.1,145577
Chr1,+,LOC_Os01g01307.1,148045
Chr1,-,LOC_Os01g01340.1,170389
Chr1,+,LOC_Os01g01600.1,303103
Chr1,+,LOC_Os01g01640.1,319713
Chr1,-,LOC_Os01g01660.1,328451
Chr1,-,LOC_Os01g01670.2,332339
Chr1,-,LOC_Os01g01680.1,333689
Chr1,+,LOC_Os01g01700.1,371831
Chr1,-,LOC_Os01g01710.1,380716
Chr1,-,LOC_Os01g01720.1,386701
Chr1,-,LOC_Os01g01740.1,396651
Chr1,-,LOC_Os01g01520.1,275084
Chr1,+,LOC_Os01g01570.1,288372
Chr1,+,LOC_Os01g01920.1,498454
Chr1,-,LOC_Os01g01970.2,528002
Chr1,+,LOC_Os01g02000.1,537710
Chr1,-,LOC_Os01g02010.1,544510
Chr1,-,LOC_Os01g02050.1,572138
Chr1,-,LOC_Os01g02060.1,579569
Chr1,-,LOC_Os01g02080.1,587780
Chr1,+,LOC_Os01g02090.1,588863
Chr1,+,LOC_Os01g01780.1,412579
Chr1,-,LOC_Os01g01790.1,420497
Chr1,+,LOC_Os01g01800.1,422527
Chr1,+,LOC_Os01g01840.1,455512
Chr1,+,LOC_Os01g01870.1,478325
Chr1,+,LOC_Os01g01880.1,482332
Chr1,+,LOC_Os01g01890.1,483885
Chr1,-,LOC_Os01g02180.2,644269
Chr1,-,LOC_Os01g02490.1,806932
Chr1,-,LOC_Os01g02590.1,865253
Chr1,-,LOC_Os01g02290.1,723317
Chr1,-,LOC_Os01g02334.1,741794
Chr1,+,LOC_Os01g02360.1,745452
Chr1,-,LOC_Os01g02390.1,769681
Chr1,+,LOC_Os01g02400.1,770332
Chr1,-,LOC_Os01g02110.1,605643
Chr1,+,LOC_Os01g02120.1,612564
Chr1,+,LOC_Os01g02139.1,624087
Chr1,+,LOC_Os01g02150.1,625976
Chr1,-,LOC_Os01g02170.1,639309
Chr1,+,LOC_Os01g02870.1,1010259
Chr1,+,LOC_Os01g02880.1,1016065
Chr1,-,LOC_Os01g02900.1,1059856
Chr1,-,LOC_Os01g02910.1,1069826
Chr1,-,LOC_Os01g02920.1,1075030
Chr1,-,LOC_Os01g02940.2,1093528
Chr1,+,LOC_Os01g02960.1,1103782
Chr1,-,LOC_Os01g03030.1,1158601
Chr1,-,LOC_Os01g02680.1,914246
Chr1,-,LOC_Os01g02720.2,934914
Chr1,-,LOC_Os01g02780.1,973327
Chr1,-,LOC_Os01g02830.1,997262
Chr1,+,LOC_Os01g03080.1,1181158
Chr1,+,LOC_Os01g03090.1,1183394
Chr1,-,LOC_Os01g03100.1,1191013
Chr1,-,LOC_Os01g03110.1,1203506
Chr1,-,LOC_Os01g03130.1,1218122
