loc pos similarity 
>Chr1 1112 239.0 
>Chr1 2554 390.0 
>Chr1 2926 138.0 
>Chr1 11188 107.0 
>Chr1 12650 459.0 
>Chr1 16286 313.0 
>Chr1 16526 446.0 
>Chr1 27142 47.0 
>Chr1 29772 225.0 
>Chr1 30754 353.0 
>Chr1 35660 166.0 
>Chr1 42696 235.0 
>Chr1 44406 86.0 
>Chr1 56832 95.0 
>Chr1 58462 153.0 
>Chr1 62026 130.0 
>Chr1 69250 437.0 
>Chr1 69682 121.0 
>Chr1 69874 448.0 
>Chr1 72782 60.0 
>Chr1 85260 169.0 
>Chr1 88936 103.0 
>Chr1 89950 276.0 
>Chr1 93778 245.0 
>Chr1 95404 113.0 
>Chr1 100926 176.0 
>Chr1 105760 50.0 
>Chr1 107254 177.0 
>Chr1 107522 299.0 
>Chr1 109268 434.0 
>Chr1 115434 467.0 
>Chr1 115996 299.0 
>Chr1 117742 432.0 
>Chr1 134272 357.0 
>Chr1 148044 116.0 
>Chr1 151460 185.0 
>Chr1 163290 105.0 
>Chr1 190480 182.0 
>Chr1 191230 461.0 
>Chr1 197664 215.0 
>Chr1 201882 267.0 
>Chr1 209754 212.0 
>Chr1 216118 107.0 
>Chr1 219546 180.0 
>Chr1 221544 79.0 
>Chr1 223454 148.0 
>Chr1 224900 177.0 
>Chr1 227134 72.0 
>Chr1 234154 347.0 
>Chr1 252704 105.0 
>Chr1 256348 496.0 
>Chr1 258538 161.0 
>Chr1 261486 108.0 
>Chr1 270368 314.0 
>Chr1 279950 374.0 
>Chr1 287524 282.0 
>Chr1 288332 105.0 
>Chr1 292894 77.0 
>Chr1 308400 397.0 
>Chr1 319668 71.0 
>Chr1 323028 137.0 
>Chr1 335710 104.0 
>Chr1 371856 118.0 
>Chr1 401254 406.0 
>Chr1 403800 139.0 
>Chr1 412610 133.0 
>Chr1 422494 140.0 
>Chr1 455660 179.0 
>Chr1 456756 257.0 
>Chr1 460168 94.0 
>Chr1 473012 383.0 
>Chr1 478370 108.0 
>Chr1 479980 480.0 
>Chr1 480296 219.0 
>Chr1 483864 76.0 
>Chr1 492814 183.0 
>Chr1 495946 65.0 
>Chr1 498584 98.0 
>Chr1 510726 209.0 
>Chr1 512744 70.0 
>Chr1 514330 231.0 
>Chr1 516136 236.0 
>Chr1 523068 170.0 
>Chr1 533240 81.0 
>Chr1 533784 408.0 
>Chr1 537272 197.0 
>Chr1 548802 498.0 
>Chr1 549130 87.0 
>Chr1 562270 177.0 
>Chr1 574536 359.0 
>Chr1 576650 340.0 
>Chr1 579020 301.0 
>Chr1 580910 486.0 
>Chr1 581544 257.0 
>Chr1 584202 202.0 
>Chr1 585844 111.0 
>Chr1 588868 93.0 
>Chr1 598270 114.0 
>Chr1 604714 120.0 
>Chr1 612534 307.0 
>Chr1 615082 406.0 
>Chr1 616480 136.0 
>Chr1 616712 187.0 
>Chr1 624072 468.0 
>Chr1 626034 288.0 
>Chr1 634232 270.0 
>Chr1 637916 387.0 
>Chr1 639586 330.0 
>Chr1 640904 310.0 
>Chr1 643954 314.0 
>Chr1 645716 98.0 
>Chr1 651428 330.0 
>Chr1 660422 472.0 
>Chr1 662100 308.0 
>Chr1 673004 212.0 
>Chr1 677000 72.0 
>Chr1 684918 390.0 
>Chr1 685998 361.0 
>Chr1 706334 290.0 
>Chr1 706730 131.0 
>Chr1 728976 107.0 
>Chr1 737738 211.0 
>Chr1 738900 346.0 
>Chr1 742816 309.0 
>Chr1 745490 113.0 
>Chr1 774772 287.0 
>Chr1 776390 202.0 
>Chr1 796208 404.0 
>Chr1 796662 75.0 
>Chr1 798488 96.0 
>Chr1 808374 118.0 
>Chr1 812692 318.0 
>Chr1 815122 142.0 
>Chr1 818426 375.0 
>Chr1 818650 427.0 
>Chr1 818858 192.0 
>Chr1 843502 141.0 
>Chr1 848396 83.0 
>Chr1 860926 116.0 
>Chr1 870278 52.0 
>Chr1 872524 292.0 
>Chr1 876152 309.0 
>Chr1 876364 337.0 
>Chr1 876560 208.0 
>Chr1 888002 290.0 
>Chr1 891878 168.0 
>Chr1 902302 269.0 
>Chr1 910836 341.0 
>Chr1 921188 268.0 
>Chr1 928620 120.0 
